buy_in,multiplier,position,result,cev,adjusted_cev
1.0,2.0,3,-1.0,-300,-20.42464000000001
1.0,2.0,2,-1.0,-300,-169.49985199999992
1.0,3.0,1,2.0,600,180.72265000000004
1.0,2.0,2,-1.0,-300,-455.07927
1.0,2.0,1,1.0,600,406.56255999999996
1.0,2.0,3,-1.0,-300,-28.52517999999999
1.0,2.0,3,-1.0,-300,-425.23585999999995
1.0,2.0,1,1.0,600,-14.121120000000019
1.0,2.0,2,-1.0,-300,-270.83493
1.0,2.0,2,-1.0,-300,-268.9316900000001
1.0,2.0,1,1.0,600,299.09717600000005
1.0,2.0,2,-1.0,-300,-29.986710000000016
1.0,3.0,2,-1.0,-300,-300.0
1.0,3.0,3,-1.0,-300,-121.23683
1.0,2.0,1,1.0,600,291.72346000000016
1.0,2.0,2,-1.0,-300,-17.409899999999993
1.0,2.0,3,-1.0,-300,-6.114892000000022
1.0,2.0,1,1.0,600,342.89040000000006
1.0,2.0,3,-1.0,-300,-270.50538
1.0,3.0,1,2.0,600,593.11546
1.0,2.0,3,-1.0,-300,-62.827050000000014
1.0,5.0,3,-1.0,-300,132.48062000000004
1.0,2.0,3,-1.0,-300,-18.15803999999997
1.0,2.0,1,1.0,600,715.2195399999999
1.0,3.0,3,-1.0,-300,99.36899399999997
1.0,5.0,1,4.0,600,600.0
1.0,3.0,1,2.0,600,572.77588
1.0,3.0,3,-1.0,-300,-65.45919
1.0,2.0,1,1.0,600,171.43064600000005
1.0,2.0,2,-1.0,-300,-300.0
1.0,5.0,3,-1.0,-300,-193.484375
1.0,2.0,3,-1.0,-300,-80.90522000000003
1.0,2.0,2,-1.0,-300,-300.0
1.0,2.0,1,1.0,600,-166.2122099999999
1.0,3.0,2,-1.0,-300,-58.439999999999884
1.0,4.0,3,-1.0,-300,-519.641624
1.0,2.0,1,1.0,600,-572.0245912
1.0,2.0,1,1.0,600,454.9271
1.0,2.0,2,-1.0,-300,107.42184000000003
1.0,3.0,3,-1.0,-300,-354.74109
1.0,3.0,2,-1.0,-300,-108.63264000000001
1.0,3.0,2,-1.0,-300,-134.99522
1.0,2.0,3,-1.0,-300,-59.375280000000004
1.0,3.0,3,-1.0,-300,-52.642799999999994
1.0,2.0,3,-1.0,-300,-103.08239999999998
1.0,2.0,2,-1.0,-300,-300.0
1.0,2.0,1,1.0,600,-27.14379999999997
1.0,2.0,2,-1.0,-300,-288.76954
1.0,2.0,3,-1.0,-300,-300.0
1.0,5.0,1,4.0,600,348.4131
1.0,2.0,1,1.0,600,501.4648
1.0,2.0,3,-1.0,-300,-300.0
1.0,2.0,2,-1.0,-300,96.83587999999997
1.0,2.0,2,-1.0,-300,-105.41734000000002
1.0,2.0,2,-1.0,-300,147.738238
1.0,2.0,1,1.0,600,416.48452000000003
1.0,2.0,2,-1.0,-300,205.71304
1.0,2.0,3,-1.0,-300,-300.0
1.0,2.0,3,-1.0,-300,-31.877599999999973
